"filename", "language", "JSON", "JavaScript", "Prisma", "comment", "blank", "total"
"f:\Front-End\000-projetos\expense-plan-server\src\routes\saving\updateUserSaving\handler.js", "JavaScript", 0, 27, 0, 0, 10, 37
"f:\Front-End\000-projetos\expense-plan-server\src\routes\saving\updateUserSaving\requestValidators\bodySchema.js", "JavaScript", 0, 10, 0, 0, 3, 13
"f:\Front-End\000-projetos\expense-plan-server\src\routes\saving\updateUserSaving\requestValidators\paramsSchema.js", "JavaScript", 0, 6, 0, 0, 3, 9
"f:\Front-End\000-projetos\expense-plan-server\src\services\history.js", "JavaScript", 0, 29, 0, 0, 9, 38
"f:\Front-End\000-projetos\expense-plan-server\src\services\monthlyMovements.js", "JavaScript", 0, 106, 0, 0, 18, 124
"f:\Front-End\000-projetos\expense-plan-server\src\services\movement.js", "JavaScript", 0, 108, 0, 0, 17, 125
"f:\Front-End\000-projetos\expense-plan-server\src\services\movementCategory.js", "JavaScript", 0, 6, 0, 0, 4, 10
"f:\Front-End\000-projetos\expense-plan-server\src\services\movementType.js", "JavaScript", 0, 107, 0, 0, 15, 122
"f:\Front-End\000-projetos\expense-plan-server\src\services\saving.js", "JavaScript", 0, 116, 0, 1, 28, 145
"f:\Front-End\000-projetos\expense-plan-server\src\services\savingMovement.js", "JavaScript", 0, 144, 0, 0, 21, 165
"f:\Front-End\000-projetos\expense-plan-server\src\utils\createExistsPreHandler.js", "JavaScript", 0, 28, 0, 1, 9, 38
"f:\Front-End\000-projetos\expense-plan-server\src\utils\doesMovementCategoryExist.js", "JavaScript", 0, 19, 0, 0, 7, 26
"f:\Front-End\000-projetos\expense-plan-server\src\utils\doesUserMonthlyMovementExist.js", "JavaScript", 0, 25, 0, 0, 6, 31
"f:\Front-End\000-projetos\expense-plan-server\src\utils\doesUserMovementExist.js", "JavaScript", 0, 21, 0, 0, 6, 27
"f:\Front-End\000-projetos\expense-plan-server\src\utils\doesUserMovementTypeBelongToSaving.js", "JavaScript", 0, 30, 0, 0, 7, 37
"f:\Front-End\000-projetos\expense-plan-server\src\utils\doesUserMovementTypeExist.js", "JavaScript", 0, 21, 0, 0, 6, 27
"f:\Front-End\000-projetos\expense-plan-server\src\utils\doesUserSavingExist.js", "JavaScript", 0, 21, 0, 0, 6, 27
"f:\Front-End\000-projetos\expense-plan-server\src\utils\getError.js", "JavaScript", 0, 17, 0, 0, 4, 21
"f:\Front-End\000-projetos\expense-plan-server\src\utils\getUserIdFromToken.js", "JavaScript", 0, 27, 0, 0, 7, 34
"f:\Front-End\000-projetos\expense-plan-server\src\utils\isUserMovementInCurrentMonth.js", "JavaScript", 0, 22, 0, 0, 8, 30
"f:\Front-End\000-projetos\expense-plan-server\src\utils\validateRequestSchema.js", "JavaScript", 0, 17, 0, 0, 8, 25
"f:\Front-End\000-projetos\expense-plan-server\src\validators\common.js", "JavaScript", 0, 25, 0, 0, 7, 32
"f:\Front-End\000-projetos\expense-plan-server\src\validators\movement.js", "JavaScript", 0, 4, 0, 0, 3, 7
"Total", "-", 1883, 2601, 130, 14, 675, 5303
